// SENTENCIAS

SELECT nombre as "nombre de producto", precio as "euros", precio*1.12554 as "dólares" FROM producto;

// RESULTADO

"nombre de producto",euros,dólares
"Disco duro SATA3 1TB",86.99,94.02
"Memoria RAM DDR4 8GB",120,129.70
"Disco SSD 1 TB",150.99,163.19
"GeForce GTX 1050Ti",185,199.95
"GeForce GTX 1080 Xtreme",755,816.00
"Monitor 24 LED Full HD",202,218.32
"Monitor 27 LED Full HD",245.99,265.86
"Portátil Yoga 520",559,604.16
"Portátil Ideapd 320",444,479.87
"Impresora HP Deskjet 3720",59.99,64.84
"Impresora HP Laserjet Pro M26nw",180,194.54
