// SENTENCIAS

SELECT p.codigo as "Cod. Producto", p.nombre as "Producto", f.codigo as "Cod. Fabricante", f.nombre as "Fabricante" 
FROM producto as p JOIN fabricante as f on p.codigo_fabricante = f.codigo;

// RESULTADO

"Cód Producto",Producto,"Cód Fabricante",Fabricante
1,"Disco duro SATA3 1TB",5,Seagate
2,"Memoria RAM DDR4 8GB",6,Crucial
3,"Disco SSD 1 TB",4,Samsung
4,"GeForce GTX 1050Ti",7,Gigabyte
5,"GeForce GTX 1080 Xtreme",6,Crucial
6,"Monitor 24 LED Full HD",1,Asus
7,"Monitor 27 LED Full HD",1,Asus
8,"Portátil Yoga 520",2,Lenovo
9,"Portátil Ideapd 320",2,Lenovo
10,"Impresora HP Deskjet 3720",3,Hewlett-Packard
11,"Impresora HP Laserjet Pro M26nw",3,Hewlett-Packard
